Category,Value,Order,Question,Answer
"""BOARD""",$200,16,"In 2003, Roy E. Disney left it after being on it since 1967",the Disney Board of Directors
"""BOARD""",$400,17,"It's where Bart Simpson is often found in the opening of ""The Simpsons""",his skateboard (or the blackboard)
"""BOARD""",$600,18,At this time we'd like to do this for our first-class passengers & those traveling with small children,pre-board
"""BOARD""",$800,19,A structural material named for its small wood fragments pressed together & bonded,particle board
"""BOARD""",$1000,20,"(Jimmy of the Clue Crew reads from the Cirque du Soleil.)  When used by acrobats, this structure isn't called a seesaw, but this",a teeterboard
CITY WALK,$200,26,In the 1980s this city passed Chicago as the USA's second most populous,Los Angeles
CITY WALK,$400,27,"This London borough is the G in GMT, squire",Greenwich
CITY WALK,$600,28,Thomas Alsgaard won the 15-kilometer cross-country ski event at the 1998 Winter Olympics in this Japanese city,Nagano
CITY WALK,$800,29,"The Dalai Lama's former residence, the Potala Palace, overlooks this city",Lhasa
CITY WALK,$1000,30,"Founded by Ram Das, this city in Punjab state is home to the Golden Temple, the center of the Sikh faith",Amritsar
"FISH, BIRD, OR MAMMAL",$400,16,The tapir,mammal
"FISH, BIRD, OR MAMMAL",$800,17,The lamprey,fish
"FISH, BIRD, OR MAMMAL",$1200,18,The coelacanth,fish
"FISH, BIRD, OR MAMMAL",$1600,19,The ptarmigan,bird
"FISH, BIRD, OR MAMMAL",$2000,20,The colobus,mammal
PRUFROCKIAN PONDERINGS,$400,6,"""And how should I begin?"" Hmmm, T.S., why not with the alphabetically first country, whose Internet code is .af",Afghanistan
PRUFROCKIAN PONDERINGS,$800,7,"""Do I dare disturb the universe?"", maybe like this cosmic explosion theory first proposed in the 1920s",the Big Bang
PRUFROCKIAN PONDERINGS,$1200,8,"""So how should I presume?"" Not with this argumentative fallacy attacking the person & not the facts",ad hominem
PRUFROCKIAN PONDERINGS,$1600,9,"""In the room the women come and go talking of Michelangelo"", but do they know this statue was the only 1 he signed?",the Pietà
PRUFROCKIAN PONDERINGS,$2000,10,"""Do I dare to eat a peach?"", & if so, perhaps this kind that sounds like William Sydney Porter's alias",O\'Henry
ROOM,$200,21,"Many people have become familiar with ""Shape"", ""Ski"" & ""Savoy"", which are these, in doctors' waiting rooms",magazines
ROOM,$400,22,(Cheryl of the Clue Crew reports from the Briefing Room at the White House.)  The White House briefing room floor covers a swimming pool that was installed for this man in 1933,Franklin Delano Roosevelt
ROOM,"DD: $4,000",23,"The Titanic has 3 rooms for this--only men were allowed there, as women weren't supposed to do it in public",smoking
ROOM,$800,24,"Officially released in 1975, much-bootlegged tapes of Dylan & The Band were named for this space",the basement
ROOM,$1000,25,"Decorating experts, & the film ""The Big Lebowski"", advise that the right one of these really ties a room together",a rug
SEAN SONG,$200,4,"The rap on him is he's sometimes ""Puffy""",Sean Combs
SEAN SONG,$400,5,Once married to Madonna,Sean Penn
